order,brand,biller
62,吉祥馄饨,"['吉祥馄饨', '吉祥馄饨(深圳北站店)', '吉祥', '吉祥馄饨(深圳龙坪天虹店)', '吉祥馄饨(深圳光明招商局店)', '吉祥馄饨(深圳中心书城店)', '吉祥馄饨(深圳坂田天虹店)', '吉祥馄饨(深圳华南城店)', '吉祥馄饨(深圳市宝能第一空间店)', '吉祥馄饨(深圳福华一路店)', '吉祥馄饨(深圳丰盛町店)', '祥', '馄饨', '☘️吉祥☘️', '吉祥馄饨(深圳中科纳能店)', '祥阖馄饨']"
63,虾吃虾涮,['虾吃虾涮长圳店']
64,味千拉面,"['味千拉面', '-  me', 'Me', 'Am', 'meng', '小芦千味拉面']"
65,永和豆浆,"['永和豆浆', '永和豆浆世界之窗店', '深圳市永和豆浆中粮店', '永和豆浆松岗店', '深圳市宝安区新安丹阳永和豆浆餐厅', '永', '永和', '宝安区松岗联宜永和豆浆店', '豆浆', '豆👄', '永和豆浆深圳中粮商务公园店', '永和豆浆店']"
66,阿香米线,"['米线', '阿香', '米', '阿香米线（坪山益田店）', '阿']"
67,鲜芋仙,"['鲜芋仙', '鲜芋仙小程序', '鲜芋仙雪花冰深圳宝龙店', '深圳市龙岗区鲜芋仙草甜品店']"
68,米芝莲,"['米芝莲', '米芝莲（深圳福城万达店）', '米芝莲（深圳滨海花园大仟里）', '米芝莲（深圳喜荟城店）', '米芝莲深圳京基百纳店', '米芝莲（深圳龙华九方加盟店）', '莲', '米芝莲深圳布吉店', '米芝莲（深圳8号仓店）', '芝']"
69,胖哥俩肉蟹煲,"['深圳市胖哥俩肉蟹煲', '胖哥', '胖蟹哥肉蟹煲海鲜烧烤']"
70,如意馄饨,['如意']
71,呷哺呷哺,"['呷哺呷哺', '呷哺呷哺餐饮管理（深圳）有限公司']"
72,味多美,"['味多美肠粉丨罗湖店', 'W', 'M', '多美', 'm', 'w', '美', 'M+', 'w.', 'W.', '多', 'we', 'mei', 'MeU', '深圳鲜味美', '客家盐焗风味美']"
73,廖记棒棒鸡,"['廖记棒棒鸡', '廖', '棒棒']"
74,西树泡芙,"['西树泡芙', '西树泡芙（益田假日广场店）']"
75,举个栗子,['栗子']
76,1点点,"['1点点', '1', '1点点(水围店)', '1点点(前进一路店)', '1点点(坑梓人民西路店)', '1点点(观澜富士康店)', '1点点(沙井地铁店)', '1点点(观澜老街店)', '1点点(创业南光路店)', '1点点(农林路店)', '1点点(坪山六和城店)', '1点点(南头店)', '1点点(龙胜地铁店)', '1点点(六约路店)', '1点点(沙井路店)', '1点点(西丽宝能环球汇店)', '1点点(华发北路店)', '1点点(龙华地铁店)', '1点点(保利文化广场店)', '1点点(大浪商业中心店)', '1点点(龙华天虹店)', '1点点(五和长发店)', '1点点(清湖硅谷大院店)', '1点点(西丽地铁站)', '1点点(潜龙花园店)', '1点点(坂田地铁店)', '1点点(西丽北路店)', '1点点(东门金世界店)', '1点点(福星路店)', '1点点(太白路店)', '1点点(华南城店)', '1点点(固戍一路店)', '1点点(建安一路店)', '记得开心1点']"
78,蛙来哒,"['蛙来哒', '蛙来哒（宝能太古城店）', '深圳市龙岗区一鼎兴蛙来哒餐饮店', '蛙来哒沙井京基百纳店', '蛙来哒金田影食广场店', '蛙来哒前海科兴园店', '深圳市宝安区福永新锐派蛙来哒餐厅', '蛙来哒壹方天地应', '蛙来哒（坪地CCone店）', '蛙来哒（中航城天虹购物中心店）', '蛙来哒深圳石岩星城店', '蛙来哒深圳盐田店', '深圳蛙来哒松岗店', '蛙来哒（宝能中心）', '蛙来哒（罗湖京基水贝时代店）', '深圳市蛙来哒', '蛙来哒益田假日坪山店', '深圳市龙华区华旺路蛙来哒餐饮店', '蛙来哒石厦店', '蛙来哒大仟里店', '深圳市蛙来哒西乡天虹店', '蛙来哒（来福士店）', '蛙来哒深圳新沙天虹店', '蛙来哒（深圳罗湖IBCmall店）', '蛙来哒（深圳龙岗万达店）', '蛙来哒（福田绿景虹湾店）', '蛙来哒深圳同泰店', '蛙来哒（天玑城店）', '蛙来哒新沙天虹店', '蛙来哒南山欢乐海岸店', '蛙来哒（龙华星河ICO店）', '蛙来哒（坂田店）', '蛙来哒深圳中洲购物中心店', '蛙来哒深圳1881mall店', '蛙来哒KKmall店', '深圳市蛙来哒光明大仟里店', '蛙来哒（沙井店）', '深圳市龙华区蛙来哒', '蛙来哒金光华店', '蛙来哒（华强北茂业百货店）', '蛙来哒深圳天安云谷店', '蛙来哒（领展店）', '蛙来哒（罗湖金光华店店）', '蛙来哒光明N次方店', '蛙来哒蛙锅9选1', '蛙来哒(深圳)餐饮管理有限公司卓悦中心分店', '蛙来哒深圳融湖中心店']"
79,太二酸菜鱼,"['太二', '鱼', '菜', '大二酸菜鱼', '陌小二酸菜鱼', '渔小二酸菜鱼龙华店']"
80,赛百味,"['赛百味', '赛百味（南科大店）', '赛百味侨城坊', '赛百味深业上城店', '赛百味世纪汇店', '深圳市赛百味华彩店', '百味', '赛百味SUBWAY蛇口店', '赛百味(南科大店)']"
81,绿茶餐厅,"['绿茶餐厅', '绿茶餐厅（coco park 店）', '绿茶餐厅（沙井新沙天虹店）', '绿茶餐厅（深圳宝能慧谷店）', '绿茶餐厅（深南广场万科店）', '绿茶餐厅（欢乐颂店）', '绿茶餐厅（欢乐海岸店）', '绿茶餐厅（西乡天虹店）', '绿茶餐厅（塘朗城店）', '绿茶餐厅（深圳茂业店）', '绿茶餐厅（深圳龙岗创城店）', '绿茶餐厅(龙岗星河cocopark店)', '绿茶餐厅(深圳龙华壹方天地店)', '绿茶餐厅（宝能太古店）', '绿茶餐厅(深圳福田茂业店)', '绿茶餐厅(深圳马成时代广场店)', '绿茶餐厅(深圳佳华广场店)', '绿茶餐厅(深圳光明华润N次方公园店)', '绿茶餐厅(深圳观澜湖店)', '绿茶餐厅(深圳欢乐海岸店)', '绿茶餐厅(深圳佳华领汇店)', '绿茶餐饮']"
82,满记甜品,"['满记甜品', '满记甜品HONEYMOONDESSERT', '满', 'Hon', 'honey', 'Honey🍀', 'ONE', 'HONEY', '满记甜品(深圳欢乐港湾店)', '甜品', '江记甜品', '伟记甜品', '满屋甜品', '明记甜品', '刘记甜品', '九记甜品', '港记甜品', '钰记甜品', '李记甜品', '福记甜品', 'FINDESSERT']"
83,探鱼,"['探鱼', '探鱼烤鱼', '探鱼融湖广场店', '探鱼深圳沙井百佳华店', '探鱼深圳宝安中洲πmall店', '探鱼烤鱼星都豪庭店', '刘凯探鱼深圳翻身店', '刘凯探鱼', '探鱼布吉凯旋荟店', '探鱼座纸包鱼', '探鱼座', '探鱼福田景田岁宝店', '探鱼深圳来福士广场店', 'T601探鱼深圳宝安壹方城店', '探鱼龙华红山6979店']"
84,面包新语,"['面包新语', 'BreadTalk面包新语', '面包', 'Re', 'DT', '面包心语', 'TAO BREAD', 'LKX', 'BreaDays', '包乐Bread Lok']"
85,豪客来,"['厦门豪客来餐饮管理有限公司', '中国豪客来牛排', '豪客来小吃店', '厦门豪客来科技有限公司', '豪', '龙华豪客来牛排', '豪客来牛肉面', '豪客来便利店', '豪客来牛排(深圳沙井形色城餐厅)']"
86,鲍师傅糕点,"['鲍师傅糕点', '傅', '糕点', '鲍加兵师傅糕点', '懂师傅糕点']"
87,棒约翰,"['上海棒约翰', 'AP', 'oh', 'JO', 'L  S  Y', 'Tloml-S', 'S&X（服饰店）', 'A is']"
88,比格比萨自助,"['自助', '格', '自助侠', '自助印', '自助洗', '自助购']"
89,喜家德水饺,"['喜家德水饺', '喜家德', '水饺', '水', '喜家德虾仁水饺', '喜家福水饺']"
90,巴黎贝甜,"['巴黎贝甜（深圳海雅缤纷城）', '巴黎🌧️', '黎', 'polaris']"
91,好利来,"['利', 'Li', '好利来水果行', '好', 'And', 'An', 'an', '好利来石家庄', '好利来超市', 'hollman', 'Andy', 'Liang', 'Alian', 'liang', 'ND绣']"
92,西少爷肉夹馍,"['肉夹馍', '爷', '西安肉夹馍', '陕西肉夹馍']"
93,WAGAS,"['wagas', '沃歌斯', 'AS', 'G·', 'G', 'Wagas沃歌斯(储能大厦店)', 'Asi']"
94,布歌东京,"['布歌东京', '东', '布']"
96,贤合庄,"['贤', '庄', '贤合庄卤味火锅（果粒城店）']"
97,锦州烧烤,"['锦州烧烤', '锦', '州', '锦州烧烤海鲜大排档', '东北锦州烧烤', '宝地锦州烧烤', '大拿锦州烧烤', '达州烧烤', '柳州烧烤', '化州烧烤']"
98,鲜果时间,"['果', '鲜果', '鲜果时光']"
99,甜啦啦,['甜啦啦']
100,桥头排骨,"['桥头排骨', '深圳市桥头排骨', '桥', '桥頭排骨']"
101,老台门,"['杭州老台门小笼包', '老台门早餐店']"
102,益禾堂,"['益禾堂', '热麦益禾堂', '益禾堂新和店', '深圳市益禾堂龙邦涵凯店', '一益禾堂饮品', '益禾堂坪地店', '新叶益禾堂', '益禾堂溪头店', '益禾堂公明天虹店', '益禾堂龙西店', '春晓益禾堂', '益禾堂深圳坂田地铁口店', '深圳益禾堂观澜店', '益', '益禾堂（后亭店）', '益禾堂沙井店', '益禾堂深圳龙岗街道店', '一益禾堂一（坪地泰和店）', '益禾堂岗厦店', '热麦益禾堂（马田店）', '桔荣益禾堂', '热麦益禾堂（民生一路店）', '益禾堂深圳福星店', '一益禾堂一（燕川店）', '益禾堂TM', '益禾堂深圳应人石南海百货店', '深圳市益禾堂公明广场店', '益禾堂岗头店', '益禾堂新洲店', '益禾堂宝龙店', '图米益禾堂', '益禾堂（宝岗店）', '一益禾堂一（平龙西路店）', '益禾堂桃源居店', '上木古益禾堂', '益禾堂（东门店）', '益禾堂（上沙店）', '益禾', '益禾堂兴业店', '热麦益禾堂（罗田店）', '益禾堂世界之窗店', '平湖一益禾堂一', '一益禾堂一（石岩店）', '爱尚益禾堂', '益禾堂固戍店', '益禾堂清湖店', '益禾堂深圳上星店', '深圳市宝安区益禾堂', '龙华益禾堂', '热麦益禾堂（黄麻布一号店）', '益禾堂深圳宝龙店', '益禾堂（田寮店）', '深圳市龙岗区益禾堂饮品店', '鸡排益禾堂甜食店', '深圳益禾堂新桥万丰店', '益禾堂（西校区店）', '益禾堂布吉三联店', '益禾堂南海店', '益禾堂云云饮品店', '图＊益禾堂', '深圳市益禾堂（光明店）', '益禾堂联布店', '东莞市益禾堂塘厦店', '益禾堂仁恒梦公园店', '青年益禾堂TM', '益禾堂(深圳香缤广场店)', '益禾堂奶茶店', '益禾堂（深圳市宝安区上川地铁店）', '天门市益禾堂奶茶职业学院店', '益禾堂店']"
105,无名缘米粉,"['无名缘米粉', '缘', '无名', '无', '米粉店']"
106,蜀大侠火锅,"['蜀大侠', '蜀大侠火锅世方里店', '大侠']"
107,吾饮良品,"['良', '吾。']"
109,窑鸡王,"['窑鸡王', '窑鸡王（新围店）', '窑鸡王（沙井天虹店）', '窑鸡王深圳市宝安区店', '窑鸡王深圳太白路店', '窑鸡王（壹方城店）', '窑鸡王（油松店）', '深圳市窑鸡王前海店', '窑鸡王（坪山天虹店）', '家家乐窑鸡王深圳蛇口店', '窑鸡王（白石洲店）', '窑鸡王（灵芝店）', '窑鸡王（光明塘家店）', '窑鸡王龙华民乐店', '窑鸡王深圳布吉店', '窑鸡王美食店', '窑鸡王（松坪山店）', '深圳市南山区南山街道窑鸡王餐饮店', '窑鸡王新安店', '窑鸡王（坑梓店）', '窑鸡王（深圳东站店）', '窑鸡王(欢乐颂店)', '窑鸡王塘下涌店', '窑鸡王深圳市怀德村店', '窑鸡王（马家龙店）', '窑鸡王(星城店)', '窑鸡王(南岭店)', '窑鸡王（龙华上塘店）', '窑鸡王（雪象店）', '窑鸡王龙胜地铁站', '港湾百货店窑鸡王', '窑鸡王深圳锦绣江南店', '窑鸡王深圳岗厦店', '窑鸡王（禾花店）', '窑鸡王桃源店', '窑鸡王大源店', '窑鸡王（松元厦店）', '窑鸡王（罗湖口岸店）', '窑鸡王-福星店', '窑鸡王（沙井地铁站店）', '窑鸡王-华南城店', '窑鸡王上沙店', '下水径窑鸡王', '窑鸡王深圳皇岗店', '窑鸡王红山店', '窑鸡王（长龙店）', '窑鸡王（坂田地铁站店）', '深圳市龙华区龙园窑鸡王美食店', '窑鸡王楼村店', '窑鸡王（星城店）', 'A00窑鸡王（横岗店）', '窑鸡王（万众城店）', '窑鸡王（宝安强盛店）', '窑鸡王店', '邱记烧鸡窑鸡', '茂名鸭粥越味窑鸡', '荔枝木烤鸡窑鸡', '窑之味现烤窑鸡']"
110,千里香馄饨王,"['千里香馄饨王', '千里香馄饨', '馄饨王', '千里香馄饨王深圳罗湖店', '千里香水饺馄饨王', '林记千里香馄饨王', '千里香馄饨店', '老上海千里香馄饨（坪山竹坑店）', '千里香馄饨店（白石厦店）', '千里香馄饨深圳白石龙店', '陈各付千里香馄饨店', '福建千里飘香馄饨（古浪路）', '老上海千里香馄饨']"
111,又卷烧饼,"['烧饼', '又卷烧饼深圳世界之窗店', '饼', '三卷烧饼']"
112,阿甘锅盔,"['阿甘锅盔', '阿甘锅盔广东深圳龙华区观澜湖新城店', '阿甘锅盔广东深圳宝安壹方城中心C店', '阿甘锅盔广东深圳南山益田假日店', '阿甘锅盔华润置地N次方店', '阿甘锅盔广东深圳南山来福士店', '阿甘锅盔广东深圳龙岗区坂田天虹店', '阿甘锅盔AG00379深圳新沙天虹', '阿甘锅盔广东深圳安区松岗满京华店', '阿甘锅盔深圳宝安区海雅缤纷城店', '阿甘锅盔广东深圳龙岗区宝能allcity', '阿甘锅盔广东深圳南山区汇港购物中心店', '阿甘锅盔广东深圳龙华福城天虹店', '锅盔', '阿甘锅盔广东深圳宝安区同泰时代广场', '阿甘锅盔广东深圳南山区科兴科学园', '阿甘锅盔龙岗区星悦天地店', '阿甘锅盔广东深圳南山区卓越后海中心店', '阿甘锅盔广东深圳龙华区壹方天地店', '阿甘锅盔广东深圳宝安新桥街道新沙路万丰店', '阿甘锅盔广东深圳宝安区创业天虹店', '甘', '阿甘', '阿军锅盔', '阿静锅盔']"
113,快乐番薯,"['快乐番薯', '快乐番薯甜品店', '深圳快乐番薯', '深圳快乐番薯宝安店', '快乐番薯（松岗天虹店）', '快乐番薯荣德国际店', '快乐番薯-坪山东门大街店']"
114,京八珍,['珍']
116,正新鸡排,"['正新鸡排', '深圳正新鸡排2', '正新鸡排欧客玛店', '正新鸡排（竹子林店）', '正新鸡排石岩美食街店', '正新鸡排（华泰超市店）', '深圳市宝安区正新鸡排', '深圳市正新鸡排', '正新鸡排（上合总店）', '正新鸡排（东海百货店）', '正新鸡排（楼村店）', '正新鸡排岗厦店', '正新鸡排（坂田大新店）', '正新鸡排（观澜兴万达广场店）', '正新鸡排深圳章阁店', '正新鸡排深圳福围店', '正新鸡排（正前鸡排店）', '正新鸡排丨大鹏佳兆业店', '正新鸡排深圳三围店', '正新鸡排深圳碧岭店', '正新鸡排（龙岗坂田店）', '正新鸡排白石洲店', '正新鸡排深圳沙井店', '正新鸡排（新和店）', '正新鸡排（宝安中洲店）', '正新鸡排(沙井万丰店）', '正新鸡排（宝安燕川店）', '正新鸡排三联店', '正新鸡排康雨店', '正新鸡排（深圳国威店）', '正新鸡排深圳源盛店', '正新鸡排（龙岗龙城广场店）', '正新鸡排深职院店', '正新鸡排深圳松岗华润万家店', '鸡排', '正新鸡排（田贝地铁站鸡排店)', '正新鸡排（东关珺府店）', '正新鸡排（松坪山店）', '正新鸡排庙东排骨', '正新鸡排深圳大浪元芬店', '深圳市正新鸡排上沙旗舰店', '正新鸡排（和平中英店）', '正新鸡排深圳盐田街店', '正新鸡排（虹湾店）', '正新鸡排（西乡天虹商场店）', '正新鸡排（宝龙六路店）', '正新鸡排（联合店）', '正新鸡排深圳石岩店', '正新鸡排（深圳创维店）', '正新鸡排深圳布吉店', '深圳正新鸡排水口花园店', '正新鸡排草铺店', '正新鸡排（龙岗星河）', '正新鸡排（沙头角店）', '正新鸡排（大鹏佳兆业店）', '正新鸡排登良店', '沥林服务区正新鸡排', '正新鸡排（盐田区楷丽晶商店）', '正新鸡排(公明西田店）', '深圳市正新鸡排南园店', '正新鸡排（下沙旗舰店）', '流塘市场正新鸡排唐', '正新鸡排（竹坑店）', '正新鸡排（年年好新村店）', '正新鸡排（湾厦店）', '正新鸡排福海新和店', '正新鸡排（暗径新村店）', '正新鸡排建设路店', '正新鸡排（西丽店）', '正新鸡排（松岗天虹店）', '正新鸡排林头店', '正新鸡排（上梅林店）', '正新鸡排（蛇口招商店）', '正新鸡排（惠阳宝来店）', '正新鸡排（深圳罗湖悦辰店）', '正新鸡排店']"
117,王婆大虾,['浩佳王婆大虾七一路旗舰店']
118,杨国福麻辣烫,"['杨国福麻辣烫', '杨国福麻辣烫店', '杨国福', '麻辣烫', '杨', '深圳市南山区杨国福麻辣烫阳光科创店', '杨国福麻辣烫深圳学府路店', '杨国福麻辣烫黄贝岭店', '深圳杨国福麻辣烫横岗店', '深圳市杨国福麻辣烫', '杨国福麻辣烫科兴店', '杨国福麻辣烫龙岗万达店', '深圳市宝安区西乡杨国福麻辣烫烫店', '杨国福麻辣烫深圳食悦店', '深圳市龙华区中源杨国福麻辣烫店', '杨国福麻辣烫龙东店', '杨国福麻辣烫深圳赤尾店', '杨国福麻辣烫东门店', '深圳市龙华区亮亮杨国福麻辣烫店', '杨国福麻辣烫深圳大仟里店', '深圳市龙华区福城李辉杨国福麻辣烫店', '杨国福麻辣烫深圳下沙店', '国', '杨国福麻辣烫深圳创业店', '深圳市杨国福麻辣烫金地龙城店', '杨国福麻辣烫深圳民乐店', '深圳市杨国福麻辣烫富士康店', '杨国福麻辣烫深圳坂田店', '杨国', '杨国福麻辣烫深圳梅林店', '杨国福麻辣烫大梅沙店', '杨國福麻辣烫', '麻辣烫店', '福客麻辣烫', '杨氏麻辣烫', '国旺麻辣烫', '国潮麻辣烫', '杨府麻辣烫', '老杨麻辣烫', '福轩麻辣烫', '杨姐麻辣烫', '国彬麻辣烫', '天福麻辣烫']"
119,叫了只炸鸡,"['叫了只炸鸡', '炸鸡', '叫了只炸鸡深圳福田店', '叫了只炸鸡深圳市龙华门店', '叫了只炸鸡丨共和花园', '叫了只炸鸡固戍直营店', '叫了个炸鸡', '炸鸡王', '台享叫了个炸鸡深圳沙井店', '炸鸡店']"
120,张亮麻辣烫,"['张亮麻辣烫', '张', '亮', '张亮麻辣烫（南岭店）', '张亮', '张亮麻辣烫海口市友谊阳光城店', '（ 张 ）', '张亮麻辣烫（裕和店）', '张洋麻辣烫', '张姐麻辣烫', '张三疯麻辣烫', '喜阿张麻辣烫', '亮亮麻辣烫万丰店', '张记麻辣烫酱板鸭辣鱼', '张飞麻辣烫深圳观澜店', '张扬麻辣烫无烟烧烤']"
122,五谷渔粉,"['五谷渔粉', '五谷渔粉总部', '深圳市伟旺五谷渔粉店', '五谷渔粉J2店', '五谷渔粉下沙店', '五谷渔粉（嘉邻中心店）', '深圳五谷渔粉', '五谷渔粉翠竹店', '五味草堂五谷渔粉', '深圳市五谷渔粉店', '五谷渔粉深圳上合店', '五谷渔粉深圳华南城店', '五谷渔粉深圳配套中心店', '五谷渔粉深圳鹤州店', '五谷渔粉南新路店', '五谷渔粉白石厦店', '五谷渔粉石岩店', '五谷渔粉石龙仔新店店', '五谷渔粉下水径店', '深圳市龙岗区佳兆业城市广场五谷渔粉店', '五谷渔粉葵涌老街店', '五谷渔粉（白灰围店）', '五谷渔粉深圳大磡店', '五谷渔粉深圳科技园店', '五谷渔粉清湖万盛百货店', '五谷渔粉C02店', '五谷渔粉深圳桥头店', '五谷渔粉深圳慢城店', '五谷渔粉（观澜百佳华）', '五谷渔粉东华明珠园店', '五谷渔粉(宝三丰店)', '五谷渔粉宝龙店', '五谷渔粉五味草堂葵涌店', '深圳市五谷渔粉南山店', '深圳市龙华新区大浪丽雅海清五谷渔粉店', '五谷渔粉（文峥鑫大厦店）', '五谷渔粉深圳沙井店', '黄焖鸡五谷渔粉深圳固戍店', '五谷渔粉深圳固戍店', '五谷渔粉灶下村店', '贺记五谷渔粉店', '五谷渔粉坳背店', '五谷渔粉深圳新健兴店', '五谷渔粉手工水饺', '五谷渔粉（金湖湾店）', '深圳市龙华新区水斗新围五谷渔粉店', '五谷渔粉（沙尾店）', '五谷渔粉深圳民乐店', '深圳市宝安区孙志伟五谷渔粉店', '深圳五谷渔粉（塘头店）', '深圳市五谷渔粉', '五谷渔粉钟屋店', '五谷渔粉深圳罗租店', '五谷渔粉油松科技大厦店', '五谷渔粉樟坑店', '五谷渔粉南约广场店', '斌哥五谷渔粉店', '赵雨五谷渔粉', '五谷渔粉丨宝安臣田店', '五谷渔粉丹竹头店', '五谷渔粉泛海分店19906', '百样红五谷渔粉', '五谷渔粉深圳岗头店', '五谷渔粉（保康路店）', '玲玲五谷渔粉', '深圳市宝安区韩殿武五谷渔粉店', '五谷渔粉（金沙街店）', '五谷渔粉深圳蛇口新街店', '深圳市五谷渔粉威尼斯店', '五谷渔粉（南新路店）', '正轩五谷渔粉深圳坪山比亚迪路店', '深圳市龙岗区阪尚釜蓝记五谷渔粉店', '林壮五谷渔粉店', '阪尚斧五谷渔粉', '五谷渔粉（罗湖店）', '龙华万福五谷渔粉店', '禧御贡茶W五谷渔粉', '五谷渔粉金牌烧腊深圳食悦店', '五谷渔粉上李朗店', '黄焖鸡，五谷渔粉', '深圳市龙岗区麦香五谷渔粉店', '五谷渔粉（通成路店）', '谷', '五谷渔粉餐饮深圳福永店', '五谷渔粉（富联店）', '五谷渔粉（龙盛广场店）', '五谷渔粉深圳清湖店', '五谷渔粉店', '五谷粉', '五谷鲜汤渔粉', '五谷鱼粉', '五味渔粉', '五谷漁粉', '五谷螺蛳粉渔粉']"
123,派乐汉堡,"['派乐星汉堡店', '贝派汉堡']"
125,沪上阿姨,"['沪上阿姨', '沪上阿姨佐阾虹湾店', '沪上阿姨鲜果茶(深圳沙井共和店)', '沪上阿姨鲜果茶(深圳双拥街店)', '沪上阿姨鲜果茶(深圳塘家店)', '沪上阿姨鲜果茶(深圳海雅缤纷城店)', '沪上阿姨鲜果茶(深圳坪山裕兴店)', '沪上阿姨鲜果茶(深圳龙岗杨美店)', '沪上阿姨鲜果茶(深圳水贝店)', '沪上阿姨鲜果茶(深圳五和店)', '沪上阿姨鲜果茶(深圳八卦岭店)', '沪上阿姨珠光店', '沪上阿姨鲜果茶(深圳莲塘聚宝店)', '沪上阿姨鲜果茶(深圳龙华新围店)', '沪上阿姨鲜果茶(兴东店)', '沪上阿姨鲜果茶(深圳坪地店)', '深圳市南山区南山街道沪上阿姨现煮五谷茶', '沪上阿姨鲜果茶(深圳平湖顺平店)', '沪上阿姨鲜果茶(深圳观澜佳纷天地店)']"
126,龙门花甲,"['龙门花甲', '花', '龙门花甲「缤果空间店」', '龙门花甲(益田假日广场店)', '龙门花甲（来福士店）', '龙门花甲（龙华清湖店）', '龙门花甲（宝安万达店）', '龙门花甲布吉佳兆业店', '花🌸', '龙门花甲（万达广场店）']"
127,N多寿司,"['N多寿司', 'N多寿司（深圳市龙华区龙华市场店）', '寿司']"
128,三顾冒菜,"['三顾冒菜', '三顾冒菜（固戍地铁店）', '三顾冒菜深圳灵芝店', '三顾冒菜(新洲店NO.3849)', '三顾冒菜（泥岗店）', '三顾冒菜万顺店', '三顾冒菜（龙华公园店）', '三顾冒菜天虹商场店', '三顾冒菜（龙东店）', '三顾冒菜深圳公明店', '金三顾骨汤冒菜']"
129,九田家,"['田', '深圳市宝安区九田家料理餐饮店', '深圳市龙华区九田家日式料理店', '深圳市南山区九田家果木韩式烤肉店', '牛', '九田家黑牛烤肉（沙井天虹店）', '肉', '烤羊肉']"
130,好粥道,"['好粥道', '好粥道·砂锅粥猪肚鸡夜宵城', '广东深圳宝安好粥道二店', '好粥道胡辣汤', '好粥道莲子玉米粥']"
131,玉林串串香,['玉']
132,川魂帽牌货冒菜,"['川', '……川']"
133,德庄火锅,['古田县德庄火锅店']
135,有拈头成都市井火锅,['有搞头市井火锅']
136,蜜哆哆炸鸡,['哆哆']
137,幸福西饼,"['幸福西饼', '幸福西饼门店', '幸福', '幸福西饼万庭店', '幸福西饼兰园店', '待幸福西饼塘朗宝能城店确认收款', '👉幸福👈', '幸福西饼毕加索大道店', '幸福西饼宝能城店', '幸福饼店']"
138,鸭途,"['莆田市城厢区鸭途卤味店', 'Sayatoo字幕精灵软件注册码', 'PotatoCorner店', 'Gelato·oO手工冰淇淋', 'o福o']"
139,皇叔冒菜,['皇叔冒菜广东茂名店']
140,鱼你在一起,"['鱼你在一起', '鱼你在一起（新沙天虹店）', '北京鱼你在一起品牌管理有限公司', '鱼你在一起（同富裕店）', '深圳市宝安区福海街道鱼你在一起同泰餐饮店', '深圳市宝安区鱼你在一起餐饮店', '鱼你在一起（公明百佳华店）', '深圳市宝安区福永街道鱼你在一起餐饮店', '深圳市坪山区坪山街道鱼你在一起赵林餐饮店', '鱼你在一起深圳满纷天地店', '鱼你在一起广东深圳宝安石岩岁宝店', '鱼你在一起深圳龙岗大道路店', '鱼你在一起（东门中心城店）', '鱼你在一起深圳华南城店', '深圳市宝安区新安街道兴旺鱼你在一起餐饮店', '鱼你在一起广东深圳福田益田华润万家店-1', '深圳市坪山区坪山街道鱼你在一起赵林餐饮', '鱼你在一起广东深圳福田丰盛町阳光街店', '你', '鱼你在一起（龙海家园店）', '鱼你在一起深圳卓悦时光店', '鱼你在一起泛海店', '鱼你在一起酸菜鱼', '鱼你在一起（常兴天虹店）', '鱼你在一起深圳沙井天虹店', '深圳市龙华区喜欢鱼你在一起餐饮店', '鱼你在一起(会展店)', '鱼你在一起（福永意库店）', '鱼你在一起深圳西乡天虹店', '在一起', '深圳市龙华区鱼你一起酸菜鱼餐饮店', '深圳市龙岗区鱼你一起酸菜鱼店', '一起拼']"
142,围炉三国锅盔,"['围炉三国锅盔', '围炉三国锅盔(光明蓝鲸世界店）', '围炉三国锅盔(花园城店)', '围炉三国锅盔（欢乐港湾店）']"
143,三个先森的韩国炸鸡,['韩国炸鸡']
144,大先生小碗菜,"['小碗菜', '生', '先生', '林先生小碗菜', '大城小碗菜']"
145,台资味,"['台资味台式便当', '台资味小吃店']"
146,紫燕百味鸡,"['紫燕百味鸡', '深圳市坪山区丹富紫燕百味鸡餐饮店', '燕', '深圳市南山紫燕百味鸡店', '紫燕百味鸡(深圳石厦北三街店)', '紫燕百味鸡(城市广场店)', '紫燕百味鸡(深圳龙岗龙城建设路店)', '紫燕百味鸡(深圳龙岗中海康城二期店)', '紫燕百味鸡(工业八路店)', '紫燕百味鸡(深圳中银花园店)', '紫燕百味鸡(深圳星海名城店)', '紫燕百味鸡(深圳盐田山海城东海四街店)', '紫燕百味鸡(深圳健康花城店)', '紫燕百味鸡(深圳宝丽路店)', '紫']"
147,一芳水果茶,"['水果', '芳', '果茶', '柠檬一水果茶']"
148,围炉锅盔,"['围炉锅盔', '围炉锅盔（龙岗星河iCO店）', '围炉锅盔（COCOPark店）', '深圳市龙岗区平湖围炉锅盔小吃店', '围炉锅盔（玖龙荟店）']"
